parent,child,is_container,harvest
root,Structure/Equipment/Other,,
root,Plant,,
root,Animal,,
root,Water,,
,,,
Structure/Equipment/Other,Structure,,
Structure/Equipment/Other,Equipment,,
Structure/Equipment/Other,Other Category,,
,,,
Structure,House,,
Structure,Barn,TRUE,
Structure,Garage,TRUE,
Structure,Shed/Storage/Outbuilding,TRUE,
Structure,Warehouse,TRUE,
Structure,Fence,,
Structure,Firewood Storage,,
Structure,Other Structure,,
,,,
Fence,Wood Fence,,
Fence,Barbed Wire Fence,,
Fence,Chain-link Fence,,
,,,
Equipment,Vehicle,,
Equipment,Tractor,,
Equipment,Farm Equipment,,
Equipment,Pipe/Irrigation,,
Equipment,Other Equipment,,
,,,
Vehicle,...,,
,,,
Tractor,...,,
,,,
Plant,Beds (raised beds),,
Plant,Garden Patch/Area (NOT raised beds),,
Plant,Tunnels/Hoops,,
Plant,Greenhouse,,
Plant,Hydroponics,,
Plant,Row Crops,,
Plant,Major Mono-Crops Field,,
Plant,Open area (Lawn/Meadow/Field),,
Plant,Forest/Woods,,
Plant,Individual Tree,,
Plant,Orchard,,
,,,
Beds (raised beds),Vegetable & Fruit Garden,TRUE,
Beds (raised beds),Ornamental Garden,TRUE,
Beds (raised beds),Cover Crop and/or Pollinator Habitat,,
Beds (raised beds),Other Crops,,
,,,
Garden Patch/Area (NOT raised beds),Vegetable & Fruit Garden,,
Garden Patch/Area (NOT raised beds),Ornamental Garden,,
Garden Patch/Area (NOT raised beds),Cover Crop and/or Pollinator Habitat,,
Garden Patch/Area (NOT raised beds),Other Crops,,
,,,
Tunnels/Hoops,Vegetable & Fruit Garden,,
Tunnels/Hoops,Ornamental Garden,,
Tunnels/Hoops,Cover Crop and/or Pollinator Habitat,,
Tunnels/Hoops,Other Crops,,
,,,
Greenhouse,Vegetable & Fruit Garden,,
Greenhouse,Ornamental Garden,,
Greenhouse,Cover Crop and/or Pollinator Habitat,,
Greenhouse,Other Crops,,
,,,
Hydroponics,Vegetable & Fruit Garden,,
Hydroponics,Ornamental Garden,,
Hydroponics,Cover Crop and/or Pollinator Habitat,,
Hydroponics,Other Crops,,
,,,
Row Crops,Vegetable & Fruit Garden,,
Row Crops,Ornamental Garden,,
Row Crops,Cover Crop and/or Pollinator Habitat,,
Row Crops,Other Crops,,
,,,
Other Crops,Weeds,,
Other Crops,Fallow,,
Other Crops,Other Other Crops,,
,,,
Vegetable & Fruit Garden,...,,
,,,
Ornamental Garden,...,,
,,,
Cover Crop and/or Pollinator Habitat,...,,
,,,
Open area (Lawn/Meadow/Field),Lawn,,
Open area (Lawn/Meadow/Field),Meadow,,
Open area (Lawn/Meadow/Field),Field,,
,,,
Lawn,Native Grass,,
Lawn,Non-native Grass,,
Lawn,Mixed native and non-native,,
Lawn,Weeds,,
Lawn,Fallow (not in use; inactive),,
Lawn,Other Lawn/Meadow/Field,,
,,,
Meadow,Native Grass,,
Meadow,Non-native Grass,,
Meadow,Mixed native and non-native Grasses,,
Meadow,Flowers,,
Meadow,Mixed Grasses and flowers,,
Meadow,Weeds,,
Meadow,Fallow (not in use; inactive),,
Meadow,Other Lawn/Meadow/Field,,
,,,
Field,Native Grass,,
Field,Non-native Grass,,
Field,Mixed native and non-native,,
Field,Flowers,,
Field,Mixed Grasses and flowers,,
Field,Weeds,,
Field,Fallow (not in use; inactive),,
Field,Other Lawn/Meadow/Field,,
,,,
Native Grass,...,,
,,,
Non-native Grass,...,,
,,,
Flowers,...,,
,,,
Forest/Woods,Mixed Conifer/Deciduous,,
Forest/Woods,Mixed Conifers,,
Forest/Woods,Mixed Deciduous,,
Forest/Woods,Single Species Conifers,,
Forest/Woods,Single Species Deciduous,,
,,,
Mixed Conifer/Deciduous,...,,
,,,
Mixed Conifers,...,,
,,,
Mixed Deciduous,...,,
,,,
Single Species Conifers,...,,
,,,
Single Species Deciduous,...,,
,,,
Individual Tree,Fruit Tree,,
Individual Tree,Nut Tree,,
Individual Tree,Other Deciduous Trees,,
Individual Tree,Other Conifers,,
,,,
Fruit Tree,...,,
,,,
Nut Tree,...,,
,,,
Other Deciduous Trees,...,,
,,,
Other Conifers,...,,
,,,
Orchard,Mono Fruit Orchard,TRUE,
Orchard,Mono Nut Orchard,TRUE,
Orchard,Mixed Fruit Orchard,TRUE,
Orchard,Mixed Nut Orchard,TRUE,
,,,
Mono Fruit Orchard,...,,
,,,
Mono Nut Orchard,...,,
,,,
Mixed Fruit Orchard,...,,
,,,
Mixed Nut Orchard,...,,
,,,
Animal,Poultry/Egg layers,,
Animal,Individual Bee Hive,,
Animal,Apiary,,
Animal,Cattle/Beef,,
Animal,Dairy,,
Animal,Hogs/Pork,,
Animal,Sheep/Lamb/Mutton,,
Animal,Aquaculture(fish),,
Animal,Horses,,
Animal,Grazing/Pasture,,
Animal,Feed,,
Animal,Feed lot,,
,,,
Poultry/Egg layers,Chickens,,
Poultry/Egg layers,Turkeys,,
Poultry/Egg layers,Pheasants,,
Poultry/Egg layers,Quail,,
Poultry/Egg layers,Other Poultry,,
,,,
Chickens,Egg Laying Chicken Hens,,
Chickens,Meat Chickens,,
,,,
Egg Laying Chicken Hens,...,,
,,,
Meat Chickens,...,,
,,,
Individual Bee Hive,Single Honey Bee Hive,,
Individual Bee Hive,Single Pollinatory Hive,,
,,,
Apiary,Honey Bee Hives,TRUE,
Apiary,Pollinator Bee Hives,TRUE,
,,,
Single Honey Bee Hive,...,,
,,,
Single Pollinatory Hive,...,,
,,,
Honey Bee Hives,...,,
,,,
Pollinator Bee Hives,...,,
,,,
Water,Well/Pump,,
Water,Pond/Lake,,
Water,Stream/River,,
Water,Riparian Area,,
Water,Water transport,,
,,,
Well/Pump,Well,,
Well/Pump,Well with pump,,
Well/Pump,Well - artesian (under pressure),,
,,,
Water transport,Pipe line,,
Water transport,Irrigation,,
Water transport,Ditches,,
Water transport,Aqueduct,,
Water transport,Siphons,,
Water transport,Canals,,
,,,
